sin_identity,schedule_number,special_item_number,sin_group_title,sin_description1,sin_description2,sin_order,co_fname,co_lname,co_phone,co_email
2552,71 II H   ,7105-01-447-0293    ,, , ,0,,,,
2553,71 II H   ,7105-01-447-0294    ,, , ,0,,,,
2557,71 II H   ,7105-01-447-0298    ,, , ,0,,,,
2561,71 II H   ,7105-01-447-0302    ,, , ,0,,,,
2570,71 II H   ,7105-01-447-0311    ,, , ,0,,,,
2574,71 II H   ,7105-01-447-0315    ,, , ,0,,,,
2579,71 II H   ,7105-01-447-0320    ,, , ,0,,,,
2583,71 II H   ,7105-01-447-0324    ,, , ,0,,,,
2589,71 II H   ,7105-01-447-0330    ,, , ,0,,,,
2593,71 II H   ,7105-01-447-0334    ,, , ,0,,,,
2597,71 II H   ,7105-01-447-0338    ,, , ,0,,,,
2602,71 II H   ,7105-01-447-0343    ,, , ,0,,,,
2610,71 II H   ,7105-01-447-0351    ,, , ,0,,,,
2619,71 II H   ,7105-01-447-0360    ,, , ,0,,,,
2624,71 II H   ,7105-01-447-0365    ,, , ,0,,,,
2625,71 II H   ,7105-01-447-0366    ,, , ,0,,,,
2629,71 II H   ,7105-01-447-0370    ,, , ,0,,,,
2638,71 II H   ,7105-01-447-0379    ,, , ,0,,,,
2642,71 II H   ,7105-01-447-0383    ,, , ,0,,,,
2646,71 II H   ,7105-01-447-0387    ,, , ,0,,,,
2651,71 II H   ,7105-01-447-0392    ,, , ,0,,,,
2660,71 II H   ,7105-01-447-0401    ,, , ,0,,,,
2661,71 II H   ,7105-01-447-0402    ,, , ,0,,,,
2665,71 II H   ,7105-01-447-0406    ,, , ,0,,,,
2669,71 II H   ,7105-01-447-0410    ,, , ,0,,,,
2674,71 II H   ,7105-01-447-0415    ,, , ,0,,,,
2682,71 II H   ,7105-01-447-0423    ,, , ,0,,,,
2687,71 II H   ,7105-01-447-0428    ,, , ,0,,,,
2691,71 II H   ,7105-01-447-0432    ,, , ,0,,,,
2696,71 II H   ,7105-01-447-0437    ,, , ,0,,,,
2701,71 II H   ,7105-01-447-0442    ,, , ,0,,,,
2705,71 II H   ,7105-01-447-0446    ,, , ,0,,,,
2710,71 II H   ,7105-01-447-0451    ,, , ,0,,,,
2714,71 II H   ,7105-01-456-6080    ,, , ,0,,,,
2723,71 II H   ,7105-01-456-6089    ,, , ,0,,,,
2727,71 II H   ,7105-01-456-6093    ,, , ,0,,,,
2732,71 II H   ,7105-01-456-6098    ,, , ,0,,,,
2737,71 II H   ,7105-01-456-6103    ,, , ,0,,,,
2741,71 II H   ,7105-01-456-6107    ,, , ,0,,,,
2746,71 II H   ,7105-01-456-6112    ,, , ,0,,,,
2750,71 II H   ,7105-01-456-6116    ,, , ,0,,,,
2759,71 II H   ,7105-01-456-6125    ,, , ,0,,,,
2763,71 II H   ,7105-01-456-6129    ,, , ,0,,,,
2768,71 II H   ,7105-01-456-6134    ,, , ,0,,,,
2769,71 II H   ,7105-01-456-6135    ,, , ,0,,,,
2773,71 II H   ,7105-01-456-6139    ,, , ,0,,,,
2782,71 II H   ,7105-01-456-6150    ,, , ,0,,,,
2786,71 II H   ,7105-01-456-6154    ,, , ,0,,,,
2790,71 II H   ,7105-01-456-6158    ,, , ,0,,,,
2795,71 II H   ,7105-01-456-6163    ,, , ,0,,,,
2804,71 II H   ,7105-01-456-6172    ,, , ,0,,,,
2805,71 II H   ,7105-01-456-6173    ,, , ,0,,,,
2810,71 II H   ,7105-01-456-6178    ,, , ,0,,,,
2937,71,7110-01-015-2856    ,,"Caster Base For Class 6 legal files, Parchment", ,0,,,,
3459,56,357 02              ,FSC 39 Warehouse Equipment and Supplies,Warehouse Trucks and Tractors,"Including, but not limited to, cargo, baggage, and industrial towing tractor, electric powered tow tractor, walk behind or riding tow tractor, flight line tow tractor, aircraft tug tractor, gas and diesel engine tractor, battery operated power assist vehicle (PAV), electric burden carrier, personnel carrier, options and accessories  ",1,,,,
3460,56,357 03              ,FSC 39 Warehouse Equipment and Supplies,"Utility Trucks, Platform Trucks, Hand Trucks, Mail Carts","Including, but not limited to, non-powered, utility carts, grocery carts, dollies, options and accessories  ",2,,,,
3464,56,357 08              ,FSC 39 Warehouse Equipment and Supplies,"Dock Plates, Boards, Ramps, and Bridges", ,3,,,,
3465,56,357 09B             ,FSC 39 Warehouse Equipment and Supplies,Pallet Trucks,"Including, but not limited to, powered and non-powered, walk behind, riding, picker stacker, pallet jacks, pallet racks, options and accessories  ",4,,,,
3469,56,357 10C             ,FSC 39 Warehouse Equipment and Supplies,"Spill Containment Units, Containment Pallets, Non-Wooden Pallets ","Including, but not limited to, drive-on berms, drum overpacks; metal drums refurbished IAW United Nations standards, plastic, composite or steel pallets, containment mats, options and accessories  ",5,,,,
3470,56,357 11C             ,FSC 39 Warehouse Equipment and Supplies,Warehouse Equipment and Supplies,"Including, but not limited to, storage systems, storage racks, conveyors and conveyor systems, conveyor belts, slings, hooks, rope, chain, webbing, and material handling options and accessories such as strapping, shrink wrap, sealer, sealing iron, load binder, cord, and twine.

NOTE: Commercially available products under this SIN may include items which meet the requirements of the U.S. Environmental Protection Agency Comprehensive Procurement Guidelines (recycled content) Program.",6,,,,
3471,56,357 98              ,FSC 39 Warehouse Equipment and Supplies,"Ancillary Services Relating to Warehouse Equipment and Supplies, Relating to and Ordered in Conjunction with Products Purchased Under the Supply Schedule Contract","Including but not limited to installation, start up, maintenance, repair, operator instruction/training, and consultation services. Excludes Construction as defined under FAR 2.101; Architectural Engineering Services (A and E) under the Brooks Architect- Engineers Act as stated in Federal Regulation (FAR) Part 36; and stand-alone, commercial services applicable to the Service Contract Act.",7,,,,
3472,56,357 99              ,FSC 39 Warehouse Equipment and Supplies,Introduction of New Services and Products related to Warehouse Equipment and Supplies,"Services and products not identified by existing SIN categories; includes new technology, professional services, such as consulting, design assistance, and technical review/advice; and commercial services (such as repair and maintenance services) that are subject to Service Contract Act wage rates",8,,,,
3475,56,361 05              ,FSC 39 Warehouse Equipment and Supplies,"Scaffolding, Work and Service Platforms ","Manual or motorized, adjustable height; including, but not limited to, scaffolding, aerial lifts, man lifts, mechanical work tables, ergonomic lifts, split deck service platforms, scissor lifts, ladder systems, including rental, options and accessories",10,,,,
3476,56,629 01A             ,FSC 39 Warehouse Equipment and Supplies,"Forklifts - Electric, Gas, LPG, and Diesel Powered","Including, but not limited to, sit down, stand up, rider design,  walk behind, stacker, straddle, narrow aisle, rider reach, and options and accessories, pneumatic or cushion tires, forklift batteries, battery chargers, and repair or replacement parts, options and accessories",11,,,,
3486,56,629 05              ,FSC 39 Warehouse Equipment and Supplies,"Maintenance, Rental and Lease of Forklifts", ,0,,,,
3490,56,641 6               ,FSC 46 - Air and Water Purification Equipment and Sewer Treatment Equipment,"Water Treatment Solutions, including Water Filtration Systems, Water Purification Systems, Sewage Treatment Equipment/Systems","Including, but not limited to, systems that filter out harmful bacteria and parasites using replaceable filter media; units to prepare water for consumption by persons without access to safe water supplies; and storage units for treated/potable water, including options and accessories equipment for a sewage treatment facility and/or pretreatment of sewage wastewater generated by a small municipality; Septic Treatment Systems; Septic Tanks, Distribution station, lateral field plumbing station & all associated fixtures, Water treatment systems designed to capture, clean, re-use or pre treat wastewater. These commercial unit(s) should remove contaminants (such as oil, soluble oil, grease and soil) from a waste stream & then automatically store the cleaned water for re-use. The unit(s) treats water from high-volume, stream or pressure cleaning operations, such as motor pool cleaning, road maintenance equipment cleaning & tool parts cleaning. Also includes, Feeder System Units consisting of one or more pumps, with or without injector connections, hose & necessary fittings. Units Designed to introduce chemicals or chemical solutions used for water purification purposes, including options and accessories. 

NOTE: Commercially available septic system treatments may include products which meet the requirements of the U.S. Environmental Protection Agency Safer Choice Products Program.
",0,,,,
3495,56,253 19              ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,"Diagnostic Equipment
","Including, but not limited to, dynamometers, multiple function testing, analyzing units, on-board units, handheld units and borescopes, and options and accessories  ",0,,,,
3496,56,253 2               ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,"Wheel & Tire Equipment  
","Including, but not limited to, Alignment Equipment, Wheel Balancing Equipment, Brake Service Equipment, Tire Changing Equipment, Tire Inflation Cages, Bead Breakers, Inflation systems, and Brake Lathes, and options and accessories",0,,,,
3497,56,253 20              ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,Vehicle Material Handling Equipment ,"Including, but not limited to, above ground and in-ground lifts, engine hoists, engine stands, jacks, and tire dollies. Includes equipment for maintenance and repair of automobiles, trucks, buses, motorcycles, and aircraft, and options and accessories  ",0,,,,
3498,56,253 24              ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,Lubrication Equipment,"Including, but not limited to, pumping, metering, and dispensing equipment and systems, and options and accessories  ",0,,,,
3499,56,253 39              ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,"Air Compressors
","Including, but not limited to, single or multi-stage compressor, electric or gasoline engine powered, portable, permanent or trailer mounted, and options and accessories  ",0,,,,
3500,56,253 40              ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,Environmental Equipment and Services Related to Maintenance and Repair Shop Equipment,"Including, but not limited to , recycling services, refrigerant recycling, antifreeze coolant recycling, filter crushers, oil recyclers, waste oil refining units, aerosol can recycling units, drum crushers and solvent, tire cutters, wheel crushers, bead notchers, including rental, options and accessories.",0,,,,
3506,56,253 49              ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,Automatic Cleaning Machines & Parts Washers,"Including, but not limited to, re-circulating, agitating machines, dipping type, or ultrasonic units, including rental, options and accessories.  Solutions may be included as accessories to the machines.",0,,,,
3507,56,253 50              ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,Blasters and Media,"Including, but not limited to, sand or glass media, bead or grit media, or non-hazardous, and protective equipment and clothing, including rental, options and accessories.  Recycled content blasting grit or biobased blasting media might be available.",0,,,,
3508,56,253 51              ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,Spray Paint Booths and Equipment,"Including, but not limited to, Air and Airless spray equipment, including spray guns, tips, filters, protective clothing, respirators, industrial ovens, including rental, options and accessories.",0,,,,
3509,56,253 52              ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,"Miscellaneous Abrasives
","Including, but not limited to, abrasive discs, belts, cloths, paper, wheels, rolls, sponges and stones, and options and accessories",0,,,,
3510,56,253 90              ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,Ancillary Services related to Maintenance and Repair Shop Equipment ,"Including services relating to and ordered in conjunction with products purchased under the supply schedule contract, such as: installation, start-up, maintenance, repair, operator instruction/training, and consultation services. EXCLUDES Construction as defined by FAR 2.101; Architectural Engineering Services (A&E) under the Brooks Architect-Engineers Act as stated in Federal Regulation (FAR) Part 36; and commercial services applicable to the Service Contract Act  ",0,,,,
3512,56,253 99              ,FSC 49 - Maintenance & Repair Shop Equipment with Related Environmental Products,Introduction of New Services and Products relating to Maintenance and Repair Shop Equipment ,"Includes, but not limited to, services and products not identified by existing SIN categories; includes Grinders, Jaw Pullers, Hydraulic presses, mobile fluid handling equipment and jumpseats, and options and accessories; and new technology, professional services, such as consulting, design assistance, and technical review/advice; and commercial services (such as repair and maintenance services) that are subject to Service Contract Act wage rates",0,,,,
3516,56,361 32              ,FSC 54 - PRE-ENGINEERED/PREFABRICATED BUILDINGS AND STRUCTURES,Installation and Site Preparation for Pre-Engineered/Prefabricated Buildings and Structures ,"Applicable to installation and site preparation services ordered in conjunction with buildings and structures purchased under the supply schedule contract. SPECIAL ORDERING PROCEDURES, WHICH INCLUDE DAVIS BACON WAGE RATES AND CONSTRUCTION CLAUSES FOR INSTALLATION AND SITE PREPARATION, APPLY TO THIS SIN.   EXCLUDES Architectural Engineering Services (A&E) under the Brooks Architect-Engineers Act as stated in Federal Regulation (FAR) Part 36.",0,,,,
3518,56,361 99A             ,FSC 54 - PRE-ENGINEERED/PREFABRICATED BUILDINGS AND STRUCTURES,Introduction of New Services and Products related to Pre-Engineered and Prefabricated Buildings and Structures,"Services and products not identified by existing SIN categories; includes new technology, stand-alone professional services, such as consulting, design assistance, and technical review/advice; and stand-alone commercial services (such as repair and maintenance services) that are subject to Service Contract Act wage rates.   ",0,,,,
3519,56,361 10A             ,FSC 54 - PRE-ENGINEERED/PREFABRICATED BUILDINGS AND STRUCTURES,Pre-Engineered and Prefabricated Buildings and Structures for Storage Solutions,"Includes, but not limited to: storage containers, warehousing structures, hazardous/chemical storage, energy/power shelters, communications shelters, garages, portable vehicle tents, car ports, aircraft hangars, maintenance shelters, vehicle inspection stations, equipment shelters, barns, sheds, freight/shipping containers, portable workshops, and mobile containers. May be wood, fiberglass, steel, aluminum, metal, tension fabric or other membrane material, pre-cast concrete and includes accessories and options - any may contain recycled content or biobased materials. Structures and buildings are suitable for support of emergency and disaster recovery efforts.  If offering products under this SIN that require your services to install the product and the cost to install these items is substantial in nature, you will be required to provide the turnkey solution in order for your offer to gain consideration.  Services should be offered under a combination of SINs 361 30 and 361 32 depending on the scope of services to be performed.",0,,,,
